2020-02-04 15:56:41 status unpacked openssl:amd64 1.1.0l-1~deb9u1
2020-02-04 15:56:41 install ca-certificates:all <none> 20161130+nmu1+deb9u1
2020-02-04 15:56:41 status half-installed ca-certificates:all 20161130+nmu1+deb9u1
2020-02-04 15:56:42 status unpacked ca-certificates:all 20161130+nmu1+deb9u1
2020-02-04 15:56:42 status unpacked ca-certificates:all 20161130+nmu1+deb9u1
2020-02-04 15:56:42 install java-common:all <none> 0.58+deb9u1
2020-02-04 15:56:42 status half-installed java-common:all 0.58+deb9u1
2020-02-04 15:56:42 status unpacked java-common:all 0.58+deb9u1
2020-02-04 15:56:42 status unpacked java-common:all 0.58+deb9u1
2020-02-04 15:56:42 install libavahi-common-data:amd64 <none> 0.6.32-2
2020-02-04 15:56:42 status half-installed libavahi-common-data:amd64 0.6.32-2
2020-02-04 15:56:42 status unpacked libavahi-common-data:amd64 0.6.32-2
2020-02-04 15:56:42 status unpacked libavahi-common-data:amd64 0.6.32-2
2020-02-04 15:56:42 install libavahi-common3:amd64 <none> 0.6.32-2
2020-02-04 15:56:42 status half-installed libavahi-common3:amd64 0.6.32-2
2020-02-04 15:56:42 status unpacked libavahi-common3:amd64 0.6.32-2
2020-02-04 15:56:42 status unpacked libavahi-common3:amd64 0.6.32-2
2020-02-04 15:56:42 install libdbus-1-3:amd64 <none> 1.10.28-0+deb9u1
2020-02-04 15:56:42 status half-installed libdbus-1-3:amd64 1.10.28-0+deb9u1
2020-02-04 15:56:42 status unpacked libdbus-1-3:amd64 1.10.28-0+deb9u1
2020-02-04 15:56:42 status unpacked libdbus-1-3:amd64 1.10.28-0+deb9u1
2020-02-04 15:56:42 install libavahi-client3:amd64 <none> 0.6.32-2
2020-02-04 15:56:42 status half-installed libavahi-client3:amd64 0.6.32-2
2020-02-04 15:56:43 status unpacked libavahi-client3:amd64 0.6.32-2
2020-02-04 15:56:43 status unpacked libavahi-client3:amd64 0.6.32-2
2020-02-04 15:56:43 install libcups2:amd64 <none> 2.2.1-8+deb9u4
2020-02-04 15:56:43 status half-installed libcups2:amd64 2.2.1-8+deb9u4
2020-02-04 15:56:43 status unpacked libcups2:amd64 2.2.1-8+deb9u4
2020-02-04 15:56:43 status unpacked libcups2:amd64 2.2.1-8+deb9u4
2020-02-04 15:56:43 install liblcms2-2:amd64 <none> 2.8-4+deb9u1
2020-02-04 15:56:43 status half-installed liblcms2-2:amd64 2.8-4+deb9u1
2020-02-04 15:56:43 status unpacked liblcms2-2:amd64 2.8-4+deb9u1
2020-02-04 15:56:43 status unpacked liblcms2-2:amd64 2.8-4+deb9u1
2020-02-04 15:56:43 install libnspr4:amd64 <none> 2:4.12-6
2020-02-04 15:56:43 status half-installed libnspr4:amd64 2:4.12-6
2020-02-04 15:56:43 status unpacked libnspr4:amd64 2:4.12-6
2020-02-04 15:56:43 status unpacked libnspr4:amd64 2:4.12-6
2020-02-04 15:56:43 install libnss3:amd64 <none> 2:3.26.2-1.1+deb9u1
2020-02-04 15:56:43 status half-installed libnss3:amd64 2:3.26.2-1.1+deb9u1
2020-02-04 15:56:44 status unpacked libnss3:amd64 2:3.26.2-1.1+deb9u1
2020-02-04 15:56:44 status unpacked libnss3:amd64 2:3.26.2-1.1+deb9u1
2020-02-04 15:56:44 install libpcsclite1:amd64 <none> 1.8.20-1
2020-02-04 15:56:44 status half-installed libpcsclite1:amd64 1.8.20-1
2020-02-04 15:56:44 status unpacked libpcsclite1:amd64 1.8.20-1
2020-02-04 15:56:44 status unpacked libpcsclite1:amd64 1.8.20-1
2020-02-04 15:56:44 install libxi6:amd64 <none> 2:1.7.9-1
2020-02-04 15:56:44 status half-installed libxi6:amd64 2:1.7.9-1
2020-02-04 15:56:44 status unpacked libxi6:amd64 2:1.7.9-1
2020-02-04 15:56:44 status unpacked libxi6:amd64 2:1.7.9-1
2020-02-04 15:56:44 install x11-common:all <none> 1:7.7+19
2020-02-04 15:56:44 status half-installed x11-common:all 1:7.7+19
2020-02-04 15:56:44 status unpacked x11-common:all 1:7.7+19
2020-02-04 15:56:44 status unpacked x11-common:all 1:7.7+19
2020-02-04 15:56:45 install libxtst6:amd64 <none> 2:1.2.3-1
